nfhs4_statecode,nfhs4_state,P05,P10,P20,P30,P40,P50,P60,P70,P80,P90,P95,region,measure
RJ,Rajasthan,828,961,1155,1322,1510,1706,1935,2297,2795,3734,5083,Urban,URP
SK,Sikkim,1289,1446,1659,1790,1986,2188,2338,2637,2794,3454,4612,Urban,URP
TN,Tamil Nadu,856,1006,1203,1415,1649,1905,2150,2522,3107,4107,5465,Urban,URP
TR,Tripura,789,911,1044,1142,1270,1506,1856,2124,2590,3380,3813,Urban,URP
UP,Uttar Pradesh,595,682,814,948,1067,1201,1429,1740,2191,3571,6456,Urban,URP
UT,Uttarakhand,849,1010,1121,1301,1501,1815,2068,2472,3029,3895,6051,Urban,URP
WB,West Bengal,715,831,1033,1219,1430,1733,2092,2535,3030,4327,6078,Urban,URP
AN,Andaman & Nicobar Islands,1800,1990,2290,2547,2887,3222,3642,3968,5179,7071,10154,Urban,URP
CH,Chandigarh,851,914,1157,1417,1764,1972,2431,3222,3967,5525,6800,Urban,URP
DN,Dadra & Nagar Haveli,861,1011,1098,1144,1283,1691,2001,2263,2646,3653,7046,Urban,URP
DD,Daman & Diu,810,859,1170,1297,1563,1732,1911,2369,2940,3852,4107,Urban,URP
LK,Lakshadweep,1038,1176,1510,1689,1934,2045,2225,2582,2958,4140,6120,Urban,URP
PY,Puducherry,1150,1372,1595,1846,2032,2183,2452,2887,3517,4424,5055,Urban,URP
IN,India,727,861,1089,1296,1510,1758,2070,2459,3068,4279,6014,Urban,URP
AP,Andhra Pradesh,737,848,997,1134,1244,1361,1518,1672,1920,2485,3084,Rural,MRP
AR,Arunachal Pradesh,550,600,705,800,955,1115,1346,1710,2079,2615,3443,Rural,MRP
AS,Assam,577,639,734,796,875,941,1021,1132,1301,1573,1869,Rural,MRP
BR,Bihar,531,581,666,749,811,876,969,1053,1203,1454,1679,Rural,MRP
CT,Chhattisgarh,431,495,600,657,712,781,850,946,1128,1420,1785,Rural,MRP
DL,NCT of Delhi,800,989,1292,1694,2103,2582,2787,4017,4210,4293,4471,Rural,MRP
GA,Goa,1036,1143,1430,1644,1805,2140,2389,2788,3120,3791,4177,Rural,MRP
GJ,Gujarat,723,812,914,1005,1084,1215,1372,1536,1755,2242,2811,Rural,MRP
HR,Haryana,825,969,1186,1371,1537,1724,1914,2149,2508,3035,3649,Rural,MRP
HP,Himachal Pradesh,824,931,1082,1208,1321,1496,1684,1902,2244,2910,3833,Rural,MRP
JK,Jammu & Kashmir,752,856,1057,1162,1277,1401,1530,1681,1972,2451,2919,Rural,MRP
JH,Jharkhand,505,567,633,686,743,823,887,985,1119,1345,1591,Rural,MRP
KA,Karnataka,728,782,868,955,1049,1158,1292,1442,1648,2176,2808,Rural,MRP
KL,Kerala,896,1028,1209,1350,1538,1752,1971,2325,2814,3798,5201,Rural,MRP
MP,Madhya Pradesh,457,527,626,722,807,878,979,1103,1316,1653,1988,Rural,MRP
MH,Maharashtra,672,783,920,1040,1144,1244,1388,1540,1766,2191,2670,Rural,MRP
MN,Manipur,776,840,943,1021,1125,1206,1307,1445,1613,1910,2270,Rural,MRP
ML,Meghalaya,774,847,968,1074,1148,1225,1308,1456,1595,1822,2110,Rural,MRP
MZ,Mizoram,673,761,884,995,1103,1192,1315,1484,1735,2221,2695,Rural,MRP
NL,Nagaland,933,1042,1262,1396,1511,1620,1753,1948,2181,2561,2927,Rural,MRP
OR,Odisha,451,511,591,653,724,797,886,987,1120,1409,1714,Rural,MRP
PB,Punjab,966,1121,1282,1432,1602,1780,1978,2298,2800,3431,4239,Rural,MRP
RJ,Rajasthan,668,800,960,1090,1200,1301,1426,1607,1819,2160,2615,Rural,MRP
SK,Sikkim,865,932,1030,1119,1188,1277,1395,1521,1723,2103,2615,Rural,MRP
TN,Tamil Nadu,709,796,917,1044,1177,1325,1491,1662,2020,2513,3217,Rural,MRP
TR,Tripura,673,726,819,902,973,1067,1162,1271,1497,1816,2133,Rural,MRP
UP,Uttar Pradesh,524,587,684,764,844,931,1023,1129,1307,1686,2080,Rural,MRP
UT,Uttarakhand,791,847,963,1096,1179,1281,1426,1620,1851,2374,3256,Rural,MRP
WB,West Bengal,572,666,761,847,928,1025,1144,1284,1458,1798,2221,Rural,MRP
AN,Andaman & Nicobar Islands,1047,1152,1476,1647,1916,2080,2333,2634,3152,4462,5526,Rural,MRP
CH,Chandigarh,1234,1341,1413,1695,1824,2111,2391,2634,2929,4577,5322,Rural,MRP
DN,Dadra & Nagar Haveli,487,561,656,671,705,811,880,1076,1403,2054,2704,Rural,MRP
DD,Daman & Diu,1406,1437,1633,2011,2031,2090,2217,2279,2825,3064,3585,Rural,MRP
LK,Lakshadweep,1260,1488,1579,1830,1889,2050,2110,2802,3044,3938,5386,Rural,MRP
PY,Puducherry,985,1092,1421,1765,1929,2033,2283,2552,2780,3435,4671,Rural,MRP
IN,India,555,639,758,860,961,1073,1211,1382,1629,2090,2652,Rural,MRP
AP,Andhra Pradesh,969,1141,1366,1589,1833,2078,2336,2818,3385,4434,5717,Urban,MRP
AR,Arunachal Pradesh,698,824,1033,1485,1680,1909,2181,2574,3015,4098,5057,Urban,MRP
AS,Assam,735,834,997,1200,1428,1634,1802,2139,2817,3613,5623,Urban,MRP
BR,Bihar,579,653,784,916,1069,1228,1343,1495,1809,2222,2766,Urban,MRP
CT,Chhattisgarh,565,695,789,907,1067,1218,1486,1816,2333,3316,4317,Urban,MRP
DL,NCT of Delhi,976,1143,1481,1687,1972,2244,2714,3371,4311,5902,7836,Urban,MRP
GA,Goa,1200,1320,1557,1879,2302,2590,2808,3117,3625,4675,5339,Urban,MRP
GJ,Gujarat,990,1139,1408,1632,1907,2167,2386,2710,3213,4012,4985,Urban,MRP
HR,Haryana,990,1162,1553,1789,2088,2506,2806,3304,4249,6533,9317,Urban,MRP
HP,Himachal Pradesh,1122,1273,1515,1925,2336,2639,3042,3379,3994,5575,7657,Urban,MRP
JK,Jammu & Kashmir,925,1072,1252,1452,1641,1875,2151,2567,3164,4080,5182,Urban,MRP
JH,Jharkhand,658,756,948,1104,1286,1476,1750,2121,2592,3074,4425,Urban,MRP
KA,Karnataka,805,943,1189,1432,1655,1975,2458,2948,3677,6090,7444,Urban,MRP
KL,Kerala,987,1124,1336,1579,1830,2144,2548,3094,3926,5825,7837,Urban,MRP
